NUMERODOSSIER;iddebiteur
12025141;3656
12025251;3657
12025494;3658
12026090;3659
12027227;3660
12029768;3661
12030806;3662
12030864;3663
12031110;3664
12032216;3665
12032451;3666
12033487;3667
12034004;3668
12035038;3669
12035119;3670
12035362;3671
12035647;3672
12035842;3673
12038098;3674
12038359;3675
12038631;3676
12040612;3677
12040662;3678
12041490;3679
12041717;3680
12041814;3681
12043007;3682
12043587;3683
12044415;3684
12047208;3685
12047408;3686
12047650;3687
12048466;3688
12049766;3689
12050260;3690
12050563;3691
12050963;3692
12053781;3693
12053861;3694
12054389;3695
12054401;3696
12054804;3697
12054955;3698
12055826;3699
12056468;3700
12057087;3701
12059139;3702
12059140;3703
12059473;3704
12059949;3705
12060081;3706
12060645;3707
12060808;3708
12060844;3709
12061862;3710
12062896;3711
12063840;3712
12064013;3713
12064238;3714
12064747;3715
12065155;3716
12065402;3717
12065590;3718
12065890;3719
12066159;3720
12066688;3721
12067450;3722
12067590;3723
12069729;3724
12071048;3725
12072127;3726
12076254;3727
12076901;3728
12077362;3729
12077977;3730
12078626;3731
12080639;3732
12081069;3733
12081620;3734
12081920;3735
12083652;3736
12083993;3737
12084242;3738
12084745;3739
12086396;3740
12088328;3741
12089002;3742
12089101;3743
12089412;3744
12090012;3745
12090508;3746
12090582;3747
12091081;3748
12091169;3749
12091386;3750
12091494;3751
12094701;3752
12095413;3753
12096079;3754
12097119;3755
12098968;3756
12099286;3757
12100311;3758
12103164;3759
12103665;3760
12103841;3761
12104526;3762
12104817;3763
12105517;3764
12105660;3765
12106331;3766
12108290;3767
12109029;3768
12109048;3769
12109197;3770
12109474;3771
12110522;3772
12112069;3773
12113243;3774
12114035;3775
12114575;3776
12114747;3777
12114952;3778
12115197;3779
12115725;3780
12116461;3781
12116709;3782
12116804;3783
12117851;3784
12118366;3785
12120665;3786
12123972;3787
12124766;3788
12125521;3789
12126008;3790
12126011;3791
12127145;3792
12127375;3793
12128020;3794
12128349;3795
12128670;3796
12129119;3797
12129690;3798
12130158;3799
12131067;3800
12131220;3801
12131582;3802
12132494;3803
12134165;3804
12136772;3805
12137195;3806
12137348;3807
12137815;3808
12138513;3809
12139562;3810
12139885;3811
12140269;3812
12140987;3813
12141137;3814
12141255;3815
12141979;3816
12142035;3817
12143052;3818
12143528;3819
12143656;3820
12143688;3821
12144288;3822
12144736;3823
12145085;3824
12145554;3825
12145889;3826
12146220;3827
12146662;3828
12147300;3829
12147602;3830
12148470;3831
12149055;3832
12149169;3833
12149297;3834
12150026;3835
12150164;3836
12150428;3837
12151903;3838
12152008;3839
12152625;3840
12153493;3841
12154349;3842
12154585;3843
12154633;3844
12154679;3845
12154708;3846
12155388;3847
12156026;3848
12156619;3849
12156681;3850
12156823;3851
12157926;3852
12159291;3853
12159445;3854
12159485;3855
12159647;3856
12160062;3857
12161692;3858
12162294;3859
12162340;3860
12164539;3861
12164797;3862
12165071;3863
12167401;3864
12169060;3865
12169095;3866
12169944;3867
12170844;3868
12170886;3869
12171322;3870
12171905;3871
12172089;3872
12173039;3873
12173183;3874
12175941;3875
12176437;3876
12177739;3877
12179422;3878
12179522;3879
12179683;3880
12180107;3881
12180306;3882
12180429;3883
12180483;3884
12181773;3885
12181784;3886
12181814;3887
12182146;3888
12183247;3889
12183328;3890
12184358;3891
12184515;3892
12184665;3893
12187063;3894
12187896;3895
12190150;3896
12190527;3897
12190895;3898
12192905;3899
12193190;3900
12195738;3901
12196106;3902
12197264;3903
12197327;3904
12197351;3905
12200681;3906
12200957;3907
12201024;3908
12201079;3909
12202056;3910
12203550;3911
12204767;3912
12206999;3913
12207029;3914
12207479;3915
12209085;3916
12211115;3917
12212562;3918
12216115;3919
12218043;3920
12219433;3921
12221837;3922
12223387;3923
12223864;3924
12223891;3925
12223933;3926
12224380;3927
12224935;3928
12226232;3929
12226795;3930
12227824;3931
12227982;3932
12230100;3933
12230208;3934
12231700;3935
12233921;3936
12234088;3937
12234958;3938
12235228;3939
12235387;3940
12239733;3941
12240464;3942
12241163;3943
12241402;3944
12241870;3945
12242084;3946
12243474;3947
12245108;3948
12245258;3949
12245386;3950
12245933;3951
12246107;3952
12246138;3953
12246705;3954
12246760;3955
12247054;3956
12247427;3957
12248011;3958
12249537;3959
12250193;3960
12250673;3961
12251761;3962
12253341;3963
12253617;3964
12255143;3965
12256720;3966
12256748;3967
12257373;3968
12257940;3969
12258143;3970
12258536;3971
12258856;3972
12259461;3973
12260476;3974
12261140;3975
12261997;3976
12262063;3977
12262398;3978
12262698;3979
12263291;3980
12265172;3981
12268780;3982
12268825;3983
12268945;3984
12268952;3985
12269794;3986
12272764;3987
12273476;3988
12273523;3989
12275537;3990
12275717;3991
12275758;3992
12277152;3993
12278342;3994
12279064;3995
12279318;3996
12279743;3997
12281268;3998
12281745;3999
12281831;4000
12282704;4001
12282825;4002
12282994;4003
12283004;4004
12283134;4005
12283421;4006
12283565;4007
12283869;4008
12284533;4009
12284570;4010
12284965;4011
12285087;4012
12285620;4013
12285653;4014
12285727;4015
12286303;4016
12287655;4017
12287990;4018
12289616;4019
12290110;4020
12290180;4021
12290709;4022
12291529;4023
12292179;4024
12292651;4025
12294631;4026
12294636;4027
12295032;4028
12295293;4029
12295655;4030
12296178;4031
12297588;4032
12297704;4033
12297766;4034
12298806;4035
12299537;4036
12299863;4037
12300638;4038
12301114;4039
12302040;4040
12302946;4041
12302990;4042
12303826;4043
12303992;4044
12304573;4045
12304661;4046
12307309;4047
12308000;4048
12311011;4049
12312395;4050
12313316;4051
12313605;4052
12313687;4053
12314255;4054
12316137;4055
12317059;4056
12317160;4057
12317844;4058
12317931;4059
12319049;4060
12319120;4061
12320716;4062
12321437;4063
12321673;4064
12321884;4065
12322168;4066
12322749;4067
12324123;4068
12324437;4069
12328116;4070
12329305;4071
12330031;4072
12330042;4073
12331055;4074
12332376;4075
12332446;4076
12333395;4077
12333527;4078
12333645;4079
12334138;4080
12334817;4081
12335241;4082
12335931;4083
12336469;4084
12336612;4085
12338437;4086
