NUMERODOSSIER;iddebiteur
13539589;7767
13539692;7768
13539880;7769
13539936;7770
13540028;7771
13540174;7772
13540302;7773
13540835;7774
13540995;7775
13541138;7776
13541245;7777
13541310;7778
13541371;7779
13541434;7780
13541511;7781
13541525;7782
13541578;7783
13541667;7784
13542021;7785
13542036;7786
13542039;7787
13542061;7788
13542136;7789
13542188;7790
13542202;7791
13542321;7792
13542501;7793
13542517;7794
13542668;7795
13542684;7796
13542710;7797
13542766;7798
13542788;7799
13542891;7800
13542892;7801
13542997;7802
13543065;7803
13543102;7804
13543328;7805
13543329;7806
13543369;7807
13543479;7808
13543996;7809
13544009;7810
13544039;7811
13544170;7812
13544207;7813
13544357;7814
13544360;7815
13544376;7816
13544509;7817
13544529;7818
13544689;7819
13544705;7820
13544867;7821
13545040;7822
13545117;7823
13545235;7824
13545309;7825
13545339;7826
13545457;7827
13545690;7828
13545745;7829
13545786;7830
13545829;7831
13545899;7832
13545920;7833
13545921;7834
13546009;7835
13546121;7836
13546218;7837
13546233;7838
13546285;7839
13546288;7840
13546601;7841
13546648;7842
13546663;7843
13546680;7844
13546705;7845
13546749;7846
13546822;7847
13546845;7848
13546922;7849
13546982;7850
13547342;7851
13547369;7852
13547483;7853
13547578;7854
13547596;7855
13547756;7856
13547872;7857
13548020;7858
13548130;7859
13548169;7860
13548216;7861
13548287;7862
13548449;7863
13548507;7864
13548513;7865
13548686;7866
13548709;7867
13548863;7868
13549064;7869
13549105;7870
13549214;7871
13549300;7872
13549341;7873
13549405;7874
13549427;7875
13549580;7876
13549581;7877
13549640;7878
13549703;7879
13549706;7880
13549953;7881
13549967;7882
13550063;7883
13550123;7884
13550227;7885
13550340;7886
13550392;7887
13550453;7888
13550478;7889
13550502;7890
13550554;7891
13550584;7892
13550723;7893
13550728;7894
13550829;7895
13551143;7896
13551285;7897
13551477;7898
13551506;7899
13551556;7900
13551835;7901
13551858;7902
13551908;7903
13551945;7904
13551961;7905
13552094;7906
13552128;7907
13552199;7908
13552366;7909
13552553;7910
13552645;7911
13552662;7912
13552905;7913
13553018;7914
13553102;7915
13553265;7916
13553269;7917
13553279;7918
13553301;7919
13553375;7920
13553557;7921
13553701;7922
13553710;7923
13553933;7924
13553974;7925
13554183;7926
13554367;7927
13554439;7928
13554456;7929
13554752;7930
13554789;7931
13554811;7932
13554906;7933
13554908;7934
13554957;7935
13554968;7936
13555279;7937
13555301;7938
13555314;7939
13555391;7940
13555786;7941
13555922;7942
13555952;7943
13556175;7944
13556255;7945
13556395;7946
13556698;7947
13556773;7948
13556991;7949
13557020;7950
13557096;7951
13557108;7952
13557304;7953
13557355;7954
13557456;7955
13557491;7956
13557525;7957
13557602;7958
13557741;7959
13557750;7960
13557958;7961
13558103;7962
13558251;7963
13558259;7964
13558364;7965
13558374;7966
13558433;7967
13558549;7968
13558625;7969
13558645;7970
13558658;7971
13558908;7972
13559041;7973
13559105;7974
13559125;7975
13559135;7976
13559215;7977
13559306;7978
13559452;7979
13559635;7980
13559917;7981
13560044;7982
13560098;7983
13560103;7984
13560110;7985
13560180;7986
13560332;7987
13560477;7988
13560498;7989
13560610;7990
13560670;7991
13560763;7992
13560807;7993
13560953;7994
13561010;7995
13561052;7996
13561153;7997
13561242;7998
13561256;7999
13561392;8000
13561404;8001
13561456;8002
13561458;8003
13561505;8004
13561541;8005
13561592;8006
13561706;8007
13561784;8008
13561899;8009
13562040;8010
13562059;8011
13562098;8012
13562234;8013
13562240;8014
13562313;8015
13562365;8016
13562587;8017
13562626;8018
13562659;8019
13562702;8020
13562703;8021
13562789;8022
13562837;8023
13562931;8024
13562933;8025
13563103;8026
13563116;8027
13563215;8028
13563242;8029
13563573;8030
13563587;8031
13563606;8032
13563634;8033
13563714;8034
13563791;8035
13563941;8036
13563958;8037
13563981;8038
13563987;8039
13564061;8040
13564098;8041
13564387;8042
13564557;8043
13564572;8044
13564581;8045
13564630;8046
13564649;8047
13564760;8048
13564853;8049
13564854;8050
13564882;8051
13564986;8052
13564994;8053
13565034;8054
13565048;8055
13565054;8056
13565116;8057
13565182;8058
13565184;8059
13565241;8060
13565248;8061
13565301;8062
13565390;8063
13565449;8064
13565585;8065
13565736;8066
13565788;8067
13565800;8068
13565885;8069
13565952;8070
13565966;8071
13565977;8072
13565997;8073
13566015;8074
13566060;8075
13566141;8076
13566205;8077
13566300;8078
13566413;8079
13566575;8080
13566688;8081
13566784;8082
13566915;8083
13566920;8084
13566995;8085
13567054;8086
13567058;8087
13567081;8088
13567098;8089
13567157;8090
13567159;8091
13567201;8092
13567271;8093
13567326;8094
13567335;8095
13567344;8096
13567395;8097
13567441;8098
13567519;8099
13567576;8100
13567588;8101
13567726;8102
13567733;8103
13567847;8104
13567899;8105
13567908;8106
13567968;8107
13568019;8108
13568081;8109
13568286;8110
13568404;8111
13568457;8112
13568571;8113
13568917;8114
13569154;8115
13569359;8116
13569408;8117
13569465;8118
13569558;8119
13569563;8120
13569585;8121
13569717;8122
13569787;8123
13569921;8124
13569930;8125
13569997;8126
13570022;8127
13570146;8128
13570148;8129
13570162;8130
13570227;8131
13570473;8132
13570477;8133
13570478;8134
13570540;8135
13570786;8136
13570818;8137
13571095;8138
13571133;8139
13571168;8140
13571218;8141
13571437;8142
